epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,1324.85,1.91505,2.1908,1.64863,0.37028,0.41831,0.34112,0.15333,1.71636,1.94244,1.56058,0.00131582,0.00131582,0.00131582
6,1548.36,1.87411,2.10602,1.62149,0.41136,0.42595,0.38148,0.17534,1.70488,1.85185,1.5669,0.00128753,0.00128753,0.00128753
7,1774.18,1.84559,2.06714,1.59366,0.37065,0.42291,0.33341,0.15096,1.69292,1.9175,1.51848,0.00125923,0.00125923,0.00125923
8,2000.42,1.82145,2.03272,1.58407,0.40914,0.47918,0.3935,0.18802,1.65911,1.82419,1.52758,0.00123094,0.00123094,0.00123094
9,2226.25,1.80607,1.99625,1.57181,0.42606,0.44483,0.371,0.17929,1.68578,1.83328,1.54642,0.00120265,0.00120265,0.00120265
10,2445,1.78992,1.96588,1.56187,0.45891,0.487,0.44047,0.21413,1.64408,1.72001,1.52752,0.00117435,0.00117435,0.00117435
11,2699.52,1.77723,1.94098,1.55519,0.4921,0.48229,0.42941,0.20645,1.64177,1.71695,1.52937,0.00114606,0.00114606,0.00114606
12,2980.84,1.76106,1.90324,1.53647,0.43798,0.48564,0.43761,0.21739,1.59634,1.70976,1.51079,0.00111776,0.00111776,0.00111776
13,3202.96,1.7433,1.89083,1.53036,0.45231,0.50393,0.45132,0.21972,1.5992,1.71874,1.50778,0.00108947,0.00108947,0.00108947
14,3523.86,1.7359,1.85868,1.52815,0.41508,0.55728,0.44447,0.22287,1.58136,1.6697,1.48479,0.00106118,0.00106118,0.00106118
15,3755.37,1.72433,1.86316,1.52382,0.47209,0.50823,0.44945,0.2226,1.62593,1.63974,1.51245,0.00103288,0.00103288,0.00103288
16,4059.29,1.72279,1.83718,1.51657,0.47632,0.52847,0.47296,0.24333,1.57256,1.60588,1.4726,0.00100459,0.00100459,0.00100459
17,4333.17,1.70525,1.82496,1.50769,0.48496,0.55061,0.49961,0.25734,1.59742,1.56548,1.4804,0.000976293,0.000976293,0.000976293
18,4645.92,1.68655,1.78442,1.49601,0.48341,0.56207,0.4933,0.25257,1.56813,1.57066,1.46161,0.000947999,0.000947999,0.000947999
19,4945.76,1.67905,1.76535,1.48935,0.50131,0.53751,0.48998,0.25382,1.56682,1.54585,1.47382,0.000919704,0.000919704,0.000919704
20,5246.68,1.6727,1.75385,1.48017,0.51102,0.50682,0.49117,0.25157,1.58597,1.56105,1.47168,0.00089141,0.00089141,0.00089141
21,5652.21,1.67256,1.7526,1.48564,0.49462,0.55211,0.50819,0.26292,1.53944,1.54137,1.44983,0.000863116,0.000863116,0.000863116
22,6195.54,1.66067,1.73369,1.47333,0.50534,0.56599,0.51514,0.26794,1.55044,1.4997,1.44384,0.000834822,0.000834822,0.000834822
23,6726.22,1.65509,1.71462,1.46732,0.51779,0.55886,0.52792,0.27687,1.52509,1.50082,1.44223,0.000806528,0.000806528,0.000806528
24,7221.5,1.64476,1.69498,1.46682,0.50845,0.5803,0.52181,0.27731,1.53163,1.48898,1.44608,0.000778233,0.000778233,0.000778233
